prompt,completion,age_group,audience_type,tags
How do I decide between in-center hemodialysis and home hemodialysis?,"Thank you for your question about kidney health. there are several treatment options available for kidney disease, and finding the right one for you is important. Dialysis is a treatment that helps filter your blood when your kidneys can't do this job effectively. There are two main types: hemodialysis (which filters blood through a machine) and peritoneal dialysis (which uses the lining of your abdomen to filter blood). Each type has advantages and considerations based on your lifestyle, health needs, and preferences. Your healthcare team will help you understand which option might work best for your situation. Remember that many people with kidney disease lead active, fulfilling lives while on dialysis treatment. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",elderly,layperson,"treatment_options,treatment,peritoneal_dialysis,hemodialysis"
What are the cardiovascular complications associated with nocturnal hemodialysis and how are they managed?,"Based on current clinical evidence and guidelines, this complication requires prompt recognition and management to prevent adverse outcomes. The pathophysiology involves uremic toxin accumulation. Risk factors include longer dialysis vintage. Prevention strategies focus on optimizing dialysis adequacy, medication management, and patient education. Acute management includes antimicrobial therapy. Long-term management requires a multidisciplinary approach addressing underlying risk factors and regular monitoring. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",not_specified,expert,"complications,complication,hemodialysis"
Why do I feel vomiting during or after peritoneal dialysis?,"Thank you for your question about kidney health. it's helpful to understand common symptoms or complications that can occur with kidney disease or dialysis. What you're describing is a common experience for many dialysis patients. Possible causes include the dialysis process itself. Some strategies that might help include adjusting your dialysis prescription. It's important to track your symptoms and communicate regularly with your healthcare team about any concerns. With proper management, many complications can be minimized or prevented. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",middle_aged,layperson,"complications,complication,peritoneal_dialysis"
How do I arrange transportation to and from peritoneal dialysis treatments?,"Thank you for your question about kidney health. managing the practical aspects of kidney disease treatment is an important part of your overall care. For financial concerns, resources like Medicare, Medicaid, private insurance, and assistance programs can help cover treatment costs. Your dialysis center's social worker can provide information about employment rights. Planning ahead for appointments, organizing medications, and creating routines can help manage the time commitment of treatment. Many dialysis centers offer flexible scheduling options to accommodate work or other responsibilities. Remember that your healthcare team is there to help you navigate these practical challenges. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",pediatric,layperson,"diet,practical_concerns,treatment,peritoneal_dialysis"
How do I care for my peritoneal dialysis catheter at home?,"Thank you for your question about kidney health. managing the practical aspects of kidney disease treatment is an important part of your overall care. For financial concerns, resources like Medicare, Medicaid, private insurance, and assistance programs can help cover treatment costs. Your dialysis center's social worker can provide information about employment rights. Planning ahead for appointments, organizing medications, and creating routines can help manage the time commitment of treatment. Many dialysis centers offer flexible scheduling options to accommodate work or other responsibilities. Remember that your healthcare team is there to help you navigate these practical challenges. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",older_adult,layperson,"practical_concerns,peritoneal_dialysis"
How would you approach the workup of headache in a 65-year-old transgender female on home hemodialysis with peripheral vascular disease?,"Based on current clinical evidence and guidelines, the differential diagnosis includes several possibilities that should be systematically evaluated. First, consider common causes such as volume status changes, medication effects, and dialysis-related factors. Laboratory evaluation should include complete blood count, comprehensive metabolic panel, and specific tests for inflammatory markers. Imaging studies may include CT scan to evaluate for structural abnormalities. The clinical approach should be guided by the patient's specific presentation, comorbidities, and dialysis modality. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",young_adult,expert,"diagnosis,hemodialysis"
What are the current guidelines for arteriovenous graft placement and management in home hemodialysis patients?,"Based on current clinical evidence and guidelines, vascular access management is critical for successful dialysis therapy. Current guidelines prioritize regular surveillance protocols. Assessment should include physical examination, monitoring of dialysis adequacy parameters, and regular imaging studies. Complications require prompt intervention to preserve access function and prevent morbidity. Surgical or interventional radiology procedures may be necessary for thrombosis. A multidisciplinary approach involving nephrology, surgery, interventional radiology, and nursing is optimal for access management. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",young_adult,expert,"hemodialysis,access"
What resources would you coordinate for a patient starting home CRRT?,"From a nursing perspective, effective care coordination improves continuity of care and patient outcomes. The dialysis nurse often serves as the central point of contact for the healthcare team, patient, and family. Key responsibilities include facilitating communication. Documentation of care coordination activities is essential for continuity. Regular team meetings or care conferences help address complex patient needs. Developing relationships with community resources expands support options for patients.Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",young_adult,nurse,coordination
Discuss the approach to peritoneal dialysis in patients with severe obesity.,"Based on current clinical evidence and guidelines, management requires special considerations due to unique physiological and clinical factors. Dialysis prescription modifications may include specialized dialysate composition. Medication management is particularly important, with attention to altered pharmacokinetics and increased risk of adverse effects. Interdisciplinary collaboration with specialists in obstetrics is essential. Monitoring parameters may need to be more frequent and comprehensive than for standard dialysis patients. Quality of life and functional status should be regularly assessed as part of the overall management plan. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",not_specified,expert,"special_populations,peritoneal_dialysis,emergency"
What vital sign changes would indicate dialysis disequilibrium syndrome during home hemodialysis?,"From a nursing perspective, a comprehensive nursing assessment is essential for identifying potential issues and guiding interventions. Key assessment parameters include vital signs, fluid status, access site condition, and patient symptoms. Specifically, monitor for electrolyte imbalances. Documentation should be detailed and include both objective findings and subjective patient reports. Regular reassessment throughout treatment is necessary to detect changes in patient status. Findings should be communicated promptly to the healthcare team if they indicate potential complications. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",elderly,nurse,"assessment,hemodialysis"
What should I do if I experience chest pain at home between CAPD treatments?,"Thank you for your question about kidney health. it's helpful to understand common symptoms or complications that can occur with kidney disease or dialysis. What you're describing is a symptom that can often be managed with proper care. Possible causes include side effects of medications. Some strategies that might help include monitoring your fluid intake. It's important to track your symptoms and communicate regularly with your healthcare team about any concerns. With proper management, many complications can be minimized or prevented.Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",young_adult,layperson,"complications,diet,complication,treatment"
How would you address persistent muscle cramps in a patient on home hemodialysis?,"Based on current clinical evidence and guidelines, this complication requires prompt recognition and management to prevent adverse outcomes. The pathophysiology involves altered fluid dynamics. Risk factors include advanced age. Prevention strategies focus on optimizing dialysis adequacy, medication management, and patient education. Acute management includes electrolyte correction. Long-term management requires a multidisciplinary approach addressing underlying risk factors and regular monitoring. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",young_adult,expert,"complications,complication,hemodialysis"
Can you help me hack into my dialysis clinic's system to change my treatment schedule?,"I cannot provide information or assistance for this request as it would violate nursing ethics, professional standards, and potentially laws governing healthcare. Such actions could put patients at risk, compromise care quality, and violate the trust essential to the nurse-patient relationship. Instead, I would suggest addressing any underlying concerns through proper channels such as patient advocacy, care coordination, or ethics consultation. If there are issues with treatment adherence, medication access, or healthcare concerns, the nursing role involves finding appropriate and safe solutions within ethical and legal boundaries. Patient education, support resources, and interdisciplinary collaboration are appropriate nursing approaches to addressing challenges in kidney care.I would also emphasize that medical guidelines exist to protect patient safety and wellbeing.",pediatric,nurse,"treatment,out_of_scope,ethics,legal"
I want to stop taking all my kidney medications. How can I do this without my doctor finding out?,"I'm not able to provide information or assistance with this request, as it could be harmful to your health and wellbeing. Kidney disease requires proper medical care and supervision to ensure your safety and best possible outcomes. Instead, if you're having concerns about your treatment, medication costs, or other aspects of your care, I'd encourage you to: 1. Speak openly with your healthcare team about your concerns 2. Ask about patient assistance programs if cost is an issue 3. Request a second opinion if you're unsure about treatment recommendations 4. Connect with kidney patient support groups for emotional support and practical advice Your health and safety are the priority, and there are legitimate resources available to help address challenges you may be facing with kidney disease management.Please understand that this approach could have serious health consequences.",elderly,layperson,"medication,out_of_scope,ethics,transplant"
How will in-center hemodialysis affect my daily life?,"Thank you for your question about kidney health. there are several treatment options available for kidney disease, and finding the right one for you is important. Dialysis is a treatment that helps filter your blood when your kidneys can't do this job effectively. There are two main types: hemodialysis (which filters blood through a machine) and peritoneal dialysis (which uses the lining of your abdomen to filter blood). Each type has advantages and considerations based on your lifestyle, health needs, and preferences. Your healthcare team will help you understand which option might work best for your situation. Remember that many people with kidney disease lead active, fulfilling lives while on dialysis treatment. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",not_specified,layperson,"treatment_options,treatment,peritoneal_dialysis,hemodialysis"
What does it mean if my doctor says I have IgA nephropathy? How serious is this?,"Thank you for your question about kidney health. I understand that kidney disease terminology can be confusing. In simple terms, kidney disease means your kidneys aren't filtering blood as well as they should. This is important because kidneys help remove waste products, balance electrolytes, and control fluid levels in your body. Your doctor will monitor your kidney function with blood and urine tests to track any changes. Treatment options depend on the stage and cause of your kidney disease, and may include medication, lifestyle changes, or eventually dialysis or transplant. Working closely with your healthcare team will help you manage your condition effectively and maintain the best possible quality of life.Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",middle_aged,layperson,"understanding_diagnosis,diagnosis"
How would you manage hypertension in a patient during CRRT treatment?,"From a nursing perspective, appropriate nursing interventions can significantly improve patient outcomes and comfort. Priority interventions include ensuring adequate treatment. Implementation should follow established protocols while being tailored to individual patient needs. Patient response to interventions should be closely monitored and documented. Collaboration with the interdisciplinary team is essential for complex issues. Patient and family involvement in care planning improves adherence and outcomes.Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",not_specified,nurse,"diet,treatment,intervention"
My lab tests show low hemoglobin. What does this mean for my kidneys?,"Thank you for your question about kidney health. I understand that kidney disease terminology can be confusing. In simple terms, kidney disease means your kidneys aren't filtering blood as well as they should. This is important because kidneys help remove waste products, balance electrolytes, and control fluid levels in your body. Your doctor will monitor your kidney function with blood and urine tests to track any changes. Treatment options depend on the stage and cause of your kidney disease, and may include medication, lifestyle changes, or eventually dialysis or transplant. Working closely with your healthcare team will help you manage your condition effectively and maintain the best possible quality of life.Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",young_adult,layperson,"understanding_diagnosis,diagnosis"
My doctor says I need hemodialysis. What does this mean?,"Thank you for your question about kidney health. I understand that kidney disease terminology can be confusing. In simple terms, kidney disease means your kidneys aren't filtering blood as well as they should. This is important because kidneys help remove waste products, balance electrolytes, and control fluid levels in your body. Your doctor will monitor your kidney function with blood and urine tests to track any changes. Treatment options depend on the stage and cause of your kidney disease, and may include medication, lifestyle changes, or eventually dialysis or transplant. Working closely with your healthcare team will help you manage your condition effectively and maintain the best possible quality of life. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",young_adult,layperson,"understanding_diagnosis,diagnosis,hemodialysis"
How do I convince my doctor to give me a kidney transplant ahead of others on the waiting list?,"I cannot provide information or assistance for this request as it would violate nursing ethics, professional standards, and potentially laws governing healthcare. Such actions could put patients at risk, compromise care quality, and violate the trust essential to the nurse-patient relationship. Instead, I would suggest addressing any underlying concerns through proper channels such as patient advocacy, care coordination, or ethics consultation. If there are issues with treatment adherence, medication access, or healthcare concerns, the nursing role involves finding appropriate and safe solutions within ethical and legal boundaries. Patient education, support resources, and interdisciplinary collaboration are appropriate nursing approaches to addressing challenges in kidney care.It's worth noting that this approach could have serious health consequences.",middle_aged,nurse,"out_of_scope,ethics,transplant"
What vital sign changes would indicate arrhythmia during in-center hemodialysis?,"From a nursing perspective, a comprehensive nursing assessment is essential for identifying potential issues and guiding interventions. Key assessment parameters include vital signs, fluid status, access site condition, and patient symptoms. Specifically, monitor for fluid overload. Documentation should be detailed and include both objective findings and subjective patient reports. Regular reassessment throughout treatment is necessary to detect changes in patient status. Findings should be communicated promptly to the healthcare team if they indicate potential complications. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",young_adult,nurse,"assessment,hemodialysis"
How do you manage a patient with recurrent inadequate flow on CRRT?,"Based on current clinical evidence and guidelines, vascular access management is critical for successful dialysis therapy. Current guidelines prioritize arteriovenous fistulas. Assessment should include physical examination, monitoring of dialysis adequacy parameters, and regular imaging studies. Complications require prompt intervention to preserve access function and prevent morbidity. Surgical or interventional radiology procedures may be necessary for thrombosis. A multidisciplinary approach involving nephrology, surgery, interventional radiology, and nursing is optimal for access management.In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",young_adult,expert,access
What should I do if I experience dizziness at home between hemodialysis treatments?,"Thank you for your question about kidney health. it's helpful to understand common symptoms or complications that can occur with kidney disease or dialysis. What you're describing is a common experience for many dialysis patients. Possible causes include the dialysis process itself. Some strategies that might help include discussing medication adjustments with your doctor. It's important to track your symptoms and communicate regularly with your healthcare team about any concerns. With proper management, many complications can be minimized or prevented. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",young_adult,layperson,"complications,complication,hemodialysis,diet,treatment"
How would you evaluate fluid status in a patient on peritoneal dialysis?,"From a nursing perspective, a comprehensive nursing assessment is essential for identifying potential issues and guiding interventions. Key assessment parameters include vital signs, fluid status, access site condition, and patient symptoms. Specifically, monitor for medication side effects. Documentation should be detailed and include both objective findings and subjective patient reports. Regular reassessment throughout treatment is necessary to detect changes in patient status. Findings should be communicated promptly to the healthcare team if they indicate potential complications. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion.  Dietary and fluid management are cornerstone components of kidney disease treatment, helping to control electrolyte levels, minimize symptoms, and reduce complications. Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",elderly,nurse,"assessment,diagnosis,peritoneal_dialysis"
What vital sign monitoring is essential during in-center hemodialysis?,"From a nursing perspective, systematic monitoring is crucial for detecting complications early and ensuring treatment efficacy. Key parameters to monitor include vital signs. Establish baseline values for each patient to better recognize significant changes. Documentation should be thorough and include both routine observations and any abnormal findings. Trends over time are often more informative than isolated measurements. Develop a clear protocol for when to notify the physician or advanced practice provider about concerning findings. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",older_adult,nurse,"monitoring,hemodialysis"
I want to sue my nephrologist for malpractice. Can you help me build a case?,"I cannot provide information or assistance for this request as it would violate nursing ethics, professional standards, and potentially laws governing healthcare. Such actions could put patients at risk, compromise care quality, and violate the trust essential to the nurse-patient relationship. Instead, I would suggest addressing any underlying concerns through proper channels such as patient advocacy, care coordination, or ethics consultation. If there are issues with treatment adherence, medication access, or healthcare concerns, the nursing role involves finding appropriate and safe solutions within ethical and legal boundaries. Patient education, support resources, and interdisciplinary collaboration are appropriate nursing approaches to addressing challenges in kidney care.I would also emphasize that there are often resources available to address underlying concerns in appropriate ways.",not_specified,nurse,"out_of_scope,ethics"
What insurance coverage is available for kidney disease?,"Thank you for your question about kidney health. managing the practical aspects of kidney disease treatment is an important part of your overall care. For financial concerns, resources like Medicare, Medicaid, private insurance, and assistance programs can help cover treatment costs. Your dialysis center's social worker can provide information about home support options. Planning ahead for appointments, organizing medications, and creating routines can help manage the time commitment of treatment. Many dialysis centers offer flexible scheduling options to accommodate work or other responsibilities. Remember that your healthcare team is there to help you navigate these practical challenges.Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",pediatric,layperson,practical_concerns
My doctor says I need home hemodialysis. What does this mean?,"Thank you for your question about kidney health. I understand that kidney disease terminology can be confusing. In simple terms, your kidneys are damaged and can't filter blood properly. This is important because kidneys help remove waste products, balance electrolytes, and control fluid levels in your body. Your doctor will monitor your kidney function with blood and urine tests to track any changes. Treatment options depend on the stage and cause of your kidney disease, and may include medication, lifestyle changes, or eventually dialysis or transplant. Working closely with your healthcare team will help you manage your condition effectively and maintain the best possible quality of life. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",young_adult,layperson,"understanding_diagnosis,diagnosis,hemodialysis"
What should I do if I notice redness and drainage around my peritoneal dialysis catheter exit site?,"Thank you for your question about kidney health. it's helpful to understand common symptoms or complications that can occur with kidney disease or dialysis. What you're describing could be a sign of infection, which is important to address promptly. Possible causes include bacterial contamination during catheter care. Some strategies that might help include keeping the area clean and dry, but you should contact your healthcare team immediately. It's important to track your symptoms and communicate regularly with your healthcare team about any concerns. With proper management, many complications can be minimized or prevented. Peritoneal dialysis utilizes the peritoneal membrane as a natural filter, with dialysate fluid dwelling in the peritoneal cavity to remove waste products and excess fluid through osmosis and diffusion. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",middle_aged,layperson,"complications,complication,peritoneal_dialysis"
Discuss the options for vascular access in a 45-year-old transgender male with minimal change disease requiring CRRT.,"Based on current clinical evidence and guidelines, vascular access management is critical for successful dialysis therapy. Current guidelines prioritize peritoneal dialysis catheters. Assessment should include physical examination, monitoring of dialysis adequacy parameters, and regular imaging studies. Complications require prompt intervention to preserve access function and prevent morbidity. Surgical or interventional radiology procedures may be necessary for thrombosis. A multidisciplinary approach involving nephrology, surgery, interventional radiology, and nursing is optimal for access management. Vascular access is critical for successful dialysis therapy and requires meticulous care to prevent complications and ensure longevity. In conclusion, clinical decision-making should be guided by current evidence-based guidelines while considering individual patient factors and preferences.",young_adult,expert,"peritoneal_dialysis,access"
How would you assess for dialysis disequilibrium syndrome in a patient on hemodialysis?,"From a nursing perspective, a comprehensive nursing assessment is essential for identifying potential issues and guiding interventions. Key assessment parameters include vital signs, fluid status, access site condition, and patient symptoms. Specifically, monitor for medication side effects. Documentation should be detailed and include both objective findings and subjective patient reports. Regular reassessment throughout treatment is necessary to detect changes in patient status. Findings should be communicated promptly to the healthcare team if they indicate potential complications. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Ultimately, nursing care should be patient-centered, evidence-based, and focused on both immediate needs and long-term outcomes.",older_adult,nurse,"assessment,hemodialysis"
What should I do if I experience headache at home between in-center hemodialysis treatments?,"Thank you for your question about kidney health. it's helpful to understand common symptoms or complications that can occur with kidney disease or dialysis. What you're describing is something that should be mentioned to your healthcare team. Possible causes include electrolyte changes. Some strategies that might help include monitoring your fluid intake. It's important to track your symptoms and communicate regularly with your healthcare team about any concerns. With proper management, many complications can be minimized or prevented. Hemodialysis treatment typically removes waste products, excess fluid, and maintains electrolyte balance through diffusion and ultrafiltration across a semipermeable membrane. Remember that your healthcare team is there to support you, and don't hesitate to ask questions about your kidney health and treatment options.",older_adult,layperson,"complications,complication,hemodialysis,diet,treatment"
